Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1957,,,,CURITIBA,,Domicílio particular,,-0,,2,2,82015015
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1975,,,,CURITIBA,,Domicílio particular,,-0,,2,2,82015015
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,SN,,,,CURITIBA,,Estabelecimento de outras finalidades,BAR DO JORGE,Único,,2,2,82015015
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,SN,,,,CURITIBA,,Domicílio particular,,-0,,2,2,82015015
410690205050153,Urbano,RUA CARLOS PARIZE,27,,,,CURITIBA,,Domicílio particular,,-0,,2,1,82015070
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,45,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,47,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1874,,,,CURITIBA,,Edificação em construção,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,49,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,50,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1830,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1818,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 3,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 4,,,CURITIBA,,Edificação em construção,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 5,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 6,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 7,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 8,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1670,CASA 9,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1554,CASA c3,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1554,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1554,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1554,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1554,,,,CURITIBA,,Edificação em construção,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 1,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 2,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 3,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 4,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 5,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 7,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 8,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 10,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 11,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 12,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CONJUNTO SOBRADO 13,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1440,CASA 1,,,CURITIBA,,Estabelecimento de outras finalidades,MARCENARIA,Único,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1440,CASA 1,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
